Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Director
The Office,2005–2013,22,8.9,Comedy,480455.00,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Jenna Fischer
Chucky,2021–,42,7.5,"Horror, Mystery, Thriller",5717.00,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.",Brad Dourif
The Blacklist,2013–,43,8.0,"Crime, Drama, Mystery",222182.00,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",Megan Boone
Curb Your Enthusiasm,2000–,28,8.7,Comedy,112761.00,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Larry David
After We Fell,2021,98,4.8,Drama,5633.00,"Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.",Josephine Langford
Undercover,2021–,50,8.0,"Action, Crime, Drama",8500.00,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,Ahn Bo-Hyun
American Crime Story,2016–,42,8.4,"Biography, Crime, Drama",88997.00,An anthology series centered around America's most notorious crimes and criminals.,Annaleigh Ashford
Black Widow,2021,134,6.8,"Action, Adventure, Sci-Fi",263812.00,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Scarlett Johansson
The Chestnut Man,2021–,50,7.8,"Crime, Drama, Mystery",23736.00,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,David Dencik
De slag om de Schelde,2020,124,7.1,"Drama, War",15165.00,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.",Gijs Blom
Old,2021,108,5.8,"Drama, Horror, Mystery",61741.00,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",Gael García Bernal
Castle,2009–2016,43,8.1,"Comedy, Crime, Drama",148951.00,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",Stana Katic
Yellowstone,2018–,60,8.6,"Drama, Western",50329.00,A ranching family in Montana faces off against others encroaching on their land.,Luke Grimes
The Many Saints of Newark,2021,120,6.4,"Crime, Drama",32782.00,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",Alessandro Nivola
Friends,1994–2004,22,8.8,"Comedy, Romance",908094.00,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Courteney Cox
Lamb,2021,106,6.4,"Drama, Horror, Mystery",6971.00,"A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.",Noomi Rapace
Peaky Blinders,2014–,60,8.8,"Crime, Drama",420883.00,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Paul Anderson
Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,"Action, Adventure, Fantasy",119143.00,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Simu Liu
NCIS: Naval Criminal Investigative Service,2003–,60,7.7,"Action, Crime, Drama",131944.00,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",David McCallum
Scream,1996,111,7.3,"Horror, Mystery",309922.00,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Neve Campbell
The Guilty,2021,90,6.3,"Crime, Drama, Thriller",79760.00,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,Jake Gyllenhaal
Lucifer,2016–2021,42,8.1,"Crime, Drama, Fantasy",292088.00,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Lauren German
Ghostbusters: Afterlife,2021,124,7.9,"Comedy, Fantasy",365.00,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Finn Wolfhard
Breaking Bad,2008–2013,49,9.4,"Crime, Drama, Thriller",1601323.00,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Aaron Paul
The Suicide Squad,2021,132,7.3,"Action, Adventure, Comedy",237590.00,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",Margot Robbie
Chicago Fire,2012–,43,8.0,"Action, Drama",48281.00,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",Christian Stolte
Law & Order: Special Victims Unit,1999–,60,8.0,"Crime, Drama, Mystery",93495.00,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.",Christopher Meloni
Another Life,2019–,43,5.1,"Adventure, Drama, Mystery",31127.00,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,Samuel Anderson
Sardar Udham,2021,164,9.1,"Biography, Crime, Drama",23395.00,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Vicky Kaushal
Shameless,2011–2021,46,8.5,"Comedy, Drama",219360.00,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",William H. Macy
See,2019–,60,7.7,"Action, Drama, Sci-Fi",62621.00,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.",Sylvia Hoeks
Titans,2018–,45,7.6,"Action, Adventure, Crime",84587.00,A team of young superheroes combat evil and other perils.,Anna Diop
I onde dager,2021,113,6.9,"Action, Comedy, Horror",9022.00,"A dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. Before they can carry out their plans, unexpected visitors arrive and they face a greater danger.",Noomi Rapace
La casa de papel,2017–2021,70,8.2,"Action, Crime, Drama",399158.00,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,Álvaro Morte
Stranger Things,2016–,51,8.7,"Drama, Fantasy, Horror",925290.00,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",Finn Wolfhard
The Witcher,2019–,60,8.2,"Action, Adventure, Fantasy",357873.00,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",Anna Shaffer
Halloween,2018,106,6.6,"Crime, Horror, Thriller",138960.00,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Jamie Lee Curtis
Doctor Who,2005–,45,8.6,"Adventure, Drama, Family",208837.00,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Peter Capaldi
The Sinner,2017–,45,7.9,"Crime, Drama, Mystery",101291.00,Anthology series that examines how and why ordinary people commit brutal crimes.,Jessica Hecht
Dexter,2006–2013,53,8.6,"Crime, Drama, Mystery",681266.00,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",Jennifer Carpenter
I Know What You Did Last Summer,2021–,45,5.3,"Horror, Mystery, Thriller",3179.00,"In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night.",Brianne Tju
Titane,2021,108,6.8,"Drama, Horror, Sci-Fi",13051.00,"Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.",Vincent Lindon
The Haunting of Hill House,2018,572,8.6,"Drama, Horror, Mystery",210360.00,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",Carla Gugino
Supernatural,2005–2020,44,8.4,"Drama, Fantasy, Horror",412835.00,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Jensen Ackles
The Long Call,2021–,0.00,6.4,"Crime, Drama",897.00,Follows detective Matthew Venn as he returns to an evangelical community in which he grew up to attend his father's funeral.,Declan Bennett
Criminal Minds,2005–2020,42,8.1,"Crime, Drama, Mystery",179143.00,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",Kirsten Vangsness
The Black Phone,2021,102,8.1,Horror,326.00,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Ethan Hawke
The Boys,2019–,60,8.7,"Action, Crime, Drama",320050.00,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Jack Quaid
Blade Runner 2049,2017,164,8.0,"Action, Drama, Mystery",509447.00,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Harrison Ford
Doom Patrol,2019–,60,7.9,"Action, Adventure, Comedy",44985.00,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,Diane Guerrero
The Good Doctor,2017–,41,8.1,Drama,80116.00,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Hill Harper
La Brea,2021–,0.00,5.4,"Drama, Mystery, Sci-Fi",4694.00,"A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.",Eoin Macken
Vikings,2013–2020,44,8.5,"Action, Adventure, Drama",475218.00,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Gustaf Skarsgård
A Nightmare on Elm Street,1984,91,7.5,Horror,222388.00,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,Heather Langenkamp
Dynasty,2017–,42,7.3,Drama,18382.00,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,Rafael de la Fuente
The Outlaws,2021–,0.00,7.6,"Comedy, Crime, Drama",835.00,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.,Darren Boyd
Riverdale,2017–,45,6.7,"Crime, Drama, Mystery",131838.00,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",Lili Reinhart
Ron's Gone Wrong,2021,106,7.2,"Animation, Adventure, Comedy",2619.00,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.",Jean-Philippe Vine
The Nightmare Before Christmas,1993,76,8.0,"Animation, Family, Fantasy",315353.00,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Danny Elfman
Ghosts,2021–,0.00,7.2,"Comedy, Fantasy",2908.00,"A young couple, whose dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.",Utkarsh Ambudkar
Cruella,2021,134,7.4,"Adventure, Comedy, Crime",182197.00,A live-action prequel feature film following a young Cruella de Vil.,Emma Stone
Fear the Walking Dead,2015–,44,6.9,"Drama, Horror, Sci-Fi",121357.00,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",Frank Dillane
Paranormal Activity: Next of Kin,2021,98,5.2,"Horror, Mystery, Thriller",3767.00,"Margot, a young woman who was abandoned by her mother as a baby, travels to a secluded Amish community with a documentary film crew seeking answers about her mother and extended family.",Emily Bader
The Rocky Horror Picture Show,1975,100,7.4,"Comedy, Horror, Musical",141972.00,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,Tim Curry
Downton Abbey,2010–2015,58,8.7,"Drama, Romance",182546.00,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Phyllis Logan
Alice in Borderland,2020–,50,7.6,"Action, Fantasy, Mystery",38064.00,A group of bored delinquents are transported to a parallel wasteland as part of a survival game.,Tao Tsuchiya
The Wire,2002–2008,59,9.3,"Crime, Drama, Thriller",307984.00,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Lance Reddick
Scary Movie,2000,88,6.2,Comedy,245931.00,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Anna Faris
The Rookie,2018–,43,8.0,"Crime, Drama",28328.00,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",Alyssa Diaz
Brooklyn Nine-Nine,2013–2021,22,8.4,"Comedy, Crime",269795.00,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",Stephanie Beatriz
Beetle Juice,1988,92,7.5,"Comedy, Fantasy",280622.00,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",Alec Baldwin
Maya and the Three,2021,30,8.3,"Animation, Action, Adventure",1480.00,A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.,Jorge R. Gutiérrez
Nine Perfect Strangers,2021,388,7.0,"Drama, Mystery, Thriller",32755.00,Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies.,Melissa McCarthy
In the Dark,2019–,42,7.5,"Action, Crime, Horror",8866.00,A blind young woman tries to solve her friend's murder.,Brooke Markham
The Mandalorian,2019–,40,8.8,"Action, Adventure, Sci-Fi",363978.00,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Carl Weathers
Black Mirror,2011–,60,8.8,"Drama, Sci-Fi, Thriller",485217.00,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",Hannah John-Kamen
What If...?,2021–,0.00,7.5,"Animation, Action, Adventure",59926.00,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",Terri Douglas
Chicago Med,2015–,43,7.6,Drama,20864.00,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",Marlyne Barrett
Mr. Robot,2015–2019,49,8.5,"Crime, Drama, Thriller",356746.00,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",Christian Slater
The Big Bang Theory,2007–2019,22,8.1,"Comedy, Romance",756125.00,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,Jim Parsons
Malignant,2021,111,6.3,"Crime, Horror, Mystery",59393.00,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",Annabelle Wallis
CSI: Vegas,2021–,0.00,7.6,Crime,2348.00,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.",Matt Lauria
Modern Family,2009–2020,22,8.4,"Comedy, Drama, Romance",390182.00,Three different but related families face trials and tribulations in their own uniquely comedic ways.,Sofía Vergara
Scenes from a Marriage,2021,296,8.1,Drama,10098.00,"Television drama miniseries which re-examines the original's iconic depiction of love, hatred, desire, monogamy, marriage and divorce through the lens of a contemporary American couple, played by Oscar Isaac and Jessica Chastain.",Oscar Isaac
New Amsterdam,2018–,43,8.1,Drama,31429.00,A new medical director breaks the rules to heal the system at America's oldest public hospital.,Janet Montgomery
The Deep House,2021,85,5.5,"Drama, Horror, Mystery",1931.00,A young and modern couple who go to France to explore an underwater house and share their findings on social media undergoes a serious change of plans when the couple enters the interior of...                See full summary »,Alexandre Bustillo
Big Sky,2020–,60,6.8,"Crime, Drama, Mystery",12373.00,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,Kylie Bunbury
Dhindora,2021–,25,9.8,Comedy,75120.00,"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams.",Jeeveshu Ahluwalia
Billions,2016–,60,8.4,Drama,81941.00,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",Damian Lewis
Midsommar,2019,148,7.1,"Drama, Horror, Mystery",260914.00,A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Florence Pugh
Muppets Haunted Mansion,2021 TV Special,52,6.5,"Adventure, Comedy, Family",4955.00,"On Halloween night, Gonzo is challenged to spend one night in The Haunted Mansion.",Will Arnett
Venom,2018,112,6.7,"Action, Adventure, Sci-Fi",423601.00,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Tom Hardy
Elk*rtuk,2021,125,1.4,"Crime, Drama, History",35997.00,"When a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous Prime Minister speech, she decides to investigate the case to gain a position among the big-shots. Based on actual events.",Vivianne Bánovits
The Simpsons,1989–,22,8.6,"Animation, Comedy",382995.00,The satiric adventures of a working-class family in the misfit city of Springfield.,Nancy Cartwright
The Night House,2020,107,6.5,"Horror, Mystery, Thriller",21288.00,A widow begins to uncover her recently deceased husband's disturbing secrets.,Rebecca Hall
Y: The Last Man,2021,60,6.1,"Action, Adventure, Drama",10102.00,"Set in a post-apocalyptic world, Y is the last surviving male human on the planet. Based on the comic series ""Y: The Last Man.""",Ashley Romans
The Green Knight,2021,130,6.6,"Adventure, Drama, Fantasy",58612.00,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,Dev Patel
Legacies,2018–,45,7.4,"Adventure, Drama, Fantasy",24421.00,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.",Aria Shahghasemi
Better Call Saul,2015–2022,46,8.8,"Crime, Drama",362177.00,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",Rhea Seehorn
Midsomer Murders,1997–,90,7.8,"Crime, Drama, Mystery",28766.00,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.,Jane Wymark
The Lost Symbol,2021–,0.00,6.6,"Action, Adventure, Drama",3999.00,"This follows the early adventures of famed Harvard symbologist Robert Langdon, who finds himself pulled into a series of deadly puzzles when his mentor is kidnapped. The CIA forces him onto...                See full summary »",Ashley Zukerman
Young Sheldon,2017–,30,7.5,Comedy,42556.00,Meet a child genius named Sheldon Cooper; (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon who seems socially impaired.,Iain Armitage
It,2017,135,7.3,Horror,496129.00,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Bill Skarsgård
Rick and Morty,2013–,23,9.2,"Animation, Adventure, Comedy",439986.00,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Chris Parnell
Casino Royale,2006,144,8.0,"Action, Adventure, Thriller",621439.00,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Daniel Craig
Interstellar,2014,169,8.6,"Adventure, Drama, Sci-Fi",1632820.00,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Matthew McConaughey
The Crown,2016–,58,8.6,"Biography, Drama, History",177626.00,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Olivia Colman
